,gene_name,Python_coef,aod_coef,coef_diff,Python_intercept,aod_intercept,intercept_diff,Python_phi,aod_phi,phi_diff,Python_NLL,aod_NLL,NLL_diff
66,TINAGL1,2.3350847911020414,2.25728367632455,0.07780111477749152,0.4056443535639425,0.453548037542961,0.04790368397901851,0.0001562500000001,1.52323077989592e-08,0.00015623476769230103,6.767871474023171,6.769010411395333,-0.0011389373721613083
67,TESPA1,-0.1798466470482179,-0.17984362855841,3.0184898079099742e-06,3.2061112929989486,3.20594505031048,0.00016624268846854307,0.2144859008789066,0.214504668062634,1.8767183727397274e-05,1215.565118367458,1215.5651221264598,-3.759001856451505e-06
68,TENT4B,-0.1076600443949578,-0.0964361451135749,0.011223899281382899,1.8123890535382607,1.80193556675061,0.010453486787650679,0.9999999809265137,0.999999961970302,1.895621160041827e-08,118.79398143424416,118.79473961753276,-0.0007581832885961148
69,TEAD2,-0.1739618743516073,-0.173504979322116,0.00045689502949128324,1.4469392026536991,1.44665516895258,0.0002840337011191796,0.9999999809265137,0.99999996599996,1.492655365975537e-08,87.69146276263484,87.69146340789393,-6.452590923800017e-07
70,TCF3,0.0392035038270528,0.0391655122874219,3.799153963090357e-05,0.4054633912522469,0.405636499040337,0.00017310778809009886,0.9999999809265137,0.999999974876254,6.050259626633192e-09,63.00806758449509,63.00806780848707,-2.2399198229550166e-07
71,TCEA2,0.4279449516536447,0.427517017086272,0.00042793456737272306,2.6160211290061683,2.61606017302179,3.904401562149218e-05,0.8164121708326069,0.816229559104421,0.00018261172818589966,249.25766811188623,249.2576708475064,-2.7356201712791517e-06
72,TBRG1,0.0364639780350451,0.036240451285756,0.00022352674928909771,4.59161385700776,4.59167318832862,5.933132086077819e-05,0.1165224609375,0.116637697992295,0.00011523705479499213,1167.029938746562,1167.0299472373663,-8.490804248140194e-06
73,TBC1D1,-0.0760443494522706,-0.0740117528143607,0.002032596637909889,1.7451999344298323,1.74439091339089,0.0008090210389424257,0.9999999904632568,0.999999999457935,8.994678224460984e-09,138.66634465500323,138.66637244100326,-2.778600003239262e-05
74,TACC3,-0.1424536653098553,-0.142774180180751,0.0003205148708957106,2.0621218151364804,2.06215394042808,3.2125291599793826e-05,0.9505708101004392,0.950596151639087,2.5341538647749573e-05,284.7951560009437,284.79515912457896,-3.1236352810992685e-06
75,SYVN1,-0.2414675524714001,-0.241745429385858,0.0002778769144579085,1.1149834509492842,1.11530882248834,0.00032537153905587424,0.2465609969615941,0.246705605750363,0.00014460878876890182,6988.247142281744,6988.247235980465,-9.369872077513719e-05
76,SYT17,-0.3483477665144627,-0.347751630368222,0.0005961361462407111,1.160801528385808,1.16007224754205,0.0007292808437580067,0.5119560241699233,0.511787029651466,0.00016899451845719948,360.6326750581261,360.63268701870993,-1.1960583833570126e-05
77,SYNE2,0.5062201258266041,0.500776297367697,0.005443828458907118,1.6422361786559263,1.6379326128187,0.004303565837226353,0.9999999237060546,0.999999928875301,5.169246364289393e-09,38.83216341388521,38.83250704440324,-0.00034363051803154576
78,SULT1A1,-0.2795353416878536,-0.279796196770043,0.0002608550821894262,1.95412398853228,1.95437201838993,0.000248029857649934,0.8497558746337919,0.849828800636381,7.29260025891243e-05,376.3054239679154,376.305425876172,-1.9082566495853825e-06
79,SUGCT,1.752894196623786,1.75157967161739,0.0013145250063961722,-0.969374927817594,-0.96834832203139,0.00102660578620406,0.9999999952316284,0.999999961670561,3.3561067369625164e-08,96.91319258010708,96.913198773,-6.1928929255827825e-06
80,SUCLA2,0.1387148875586676,0.138724071359119,9.183800451395552e-06,0.3763022522892176,0.376049030668255,0.0002532216209625848,0.4045337677001965,0.404570770117475,3.7002417278497735e-05,3024.0273190176445,3024.027344975684,-2.595803971416899e-05
81,STARD13,0.5007845372268228,0.488806079866379,0.01197845736044384,0.2876790740188447,0.297540017750658,0.009860943731813343,0.9999999237060546,0.999918028710861,8.189499519362098e-05,14.717738805334625,14.71791515908284,-0.00017635374821622918
82,STAP2,-0.1431307815922579,-0.146599574167175,0.0034687925749171122,0.9163099730709664,0.905226505446078,0.011083467624888432,0.9999998474121092,0.99999983587815,1.1533959232146174e-08,20.225216474533383,20.22582773696385,-0.0006112624304677183
83,STAM,0.1454082599396574,0.145122259202684,0.0002860007369733797,4.2774372217950924,4.27776016706343,0.00032294526833798187,0.0911787109375,0.0912795404409266,0.00010082950342658881,266.47457109372726,266.4745732701765,-2.1764492430520477e-06
84,ST6GAL1,0.1536657276037901,0.151011505851249,0.002654221752541097,0.6242303372463212,0.626429806010715,0.0021994687643938082,0.4775387783231554,0.477277822360949,0.0002609559622063773,5730.557629807855,5730.559332288067,-0.001702480211861257
